Topology,Routing,Traffic,InjectionRate,Throughput,PacketsInjected,PacketsReceived,AvgTotalLatency,AvgHops
Mesh3D_XYZ,0,uniform_random,0.050,0.024934,15980,15958,12.4806,3.7158
Mesh3D_XYZ,3,uniform_random,0.050,0.024934,15980,15958,12.4806,3.7158
Mesh3D_XYZ,0,transpose,0.050,0.024919,15968,15948,12.6052,3.7650
Mesh3D_XYZ,0,uniform_random,0.100,0.049886,31970,31927,12.6287,3.7624
Mesh3D_XYZ,3,uniform_random,0.150,0.074466,47716,47658,12.6598,3.7538
Mesh3D_XYZ,3,uniform_random,0.200,0.099573,63801,63727,12.7166,3.7582
Mesh3D_XYZ,0,transpose,0.200,0.099572,63806,63726,13.0506,3.8406
Mesh3D_XYZ,0,uniform_random,0.350,0.174795,111998,111869,12.9006,3.7689
Mesh3D_XYZ,0,uniform_random,0.200,0.099573,63801,63727,12.7166,3.7582
Mesh3D_XYZ,0,transpose,0.300,0.149500,95810,95680,14.2556,3.9531
Mesh3D_XYZ,3,uniform_random,0.250,0.124617,79865,79755,12.7655,3.7571
Mesh3D_XYZ,0,transpose,0.450,0.197456,126714,126372,423.0047,3.6326
Mesh3D_XYZ,0,transpose,0.350,0.173991,111536,111354,26.2266,3.9053
Mesh3D_XYZ,3,uniform_random,0.450,0.224431,143788,143636,13.1044,3.8026
Mesh3D_XYZ,3,uniform_random,0.350,0.174795,111998,111869,12.9006,3.7689
Mesh3D_XYZ,3,uniform_random,0.300,0.149928,96060,95954,12.8524,3.7727
Mesh3D_XYZ,3,uniform_random,0.500,0.249006,159529,159364,13.1768,3.8026
Mesh3D_XYZ,3,uniform_random,0.400,0.199536,127850,127703,12.9914,3.7818
Mesh3D_XYZ,0,uniform_random,0.450,0.224431,143788,143636,13.1044,3.8026
Mesh3D_XYZ,0,transpose,0.250,0.124395,79713,79613,13.3954,3.8943
Mesh3D_XYZ,3,uniform_random,0.100,0.049886,31970,31927,12.6287,3.7624
Mesh3D_XYZ,0,transpose,0.400,0.190598,122288,121983,169.8901,3.7787
Mesh3D_XYZ,0,uniform_random,0.500,0.249006,159529,159364,13.1768,3.8026
Mesh3D_XYZ,3,transpose,0.100,0.049852,31948,31905,12.6875,3.7677
Mesh3D_XYZ,0,uniform_random,0.300,0.149928,96060,95954,12.8524,3.7727
Mesh3D_XYZ,0,uniform_random,0.150,0.074466,47716,47658,12.6598,3.7538
Mesh3D_XYZ,0,transpose,0.100,0.049852,31948,31905,12.6875,3.7677
Mesh3D_XYZ,0,transpose,0.150,0.074533,47760,47701,12.8213,3.7885
Mesh3D_XYZ,3,transpose,0.200,0.099572,63806,63726,13.0506,3.8406
Mesh3D_XYZ,0,uniform_random,0.250,0.124617,79865,79755,12.7655,3.7571
Mesh3D_XYZ,4,uniform_random,0.050,0.024934,15980,15958,12.4806,3.7158
Mesh3D_XYZ,0,uniform_random,0.400,0.199536,127850,127703,12.9914,3.7818
Mesh3D_XYZ,3,transpose,0.050,0.024919,15968,15948,12.6052,3.7650
Mesh3D_XYZ,3,transpose,0.300,0.149500,95810,95680,14.2556,3.9531
Mesh3D_XYZ,0,transpose,0.500,0.202931,130247,129876,635.5218,3.5176
Mesh3D_XYZ,4,uniform_random,0.100,0.049886,31970,31927,12.6287,3.7624
Mesh3D_XYZ,3,transpose,0.350,0.173991,111536,111354,26.2266,3.9053
Mesh3D_XYZ,3,transpose,0.450,0.197456,126714,126372,423.0047,3.6326
Mesh3D_XYZ,3,transpose,0.400,0.190598,122288,121983,169.8901,3.7787
Mesh3D_XYZ,4,uniform_random,0.150,0.074466,47716,47658,12.6598,3.7538
Mesh3D_XYZ,3,transpose,0.500,0.202931,130247,129876,635.5218,3.5176
Mesh3D_XYZ,3,transpose,0.150,0.074533,47760,47701,12.8213,3.7885
Mesh3D_XYZ,4,transpose,0.100,0.049852,31948,31905,12.6875,3.7677
Mesh3D_XYZ,4,uniform_random,0.200,0.099573,63801,63727,12.7166,3.7582
Mesh3D_XYZ,4,uniform_random,0.300,0.149928,96060,95954,12.8524,3.7727
Mesh3D_XYZ,4,uniform_random,0.400,0.199536,127850,127703,12.9914,3.7818
Mesh3D_XYZ,4,transpose,0.250,0.124395,79713,79613,13.3954,3.8943
Mesh3D_XYZ,4,uniform_random,0.350,0.174795,111998,111869,12.9006,3.7689
Mesh3D_XYZ,3,transpose,0.250,0.124395,79713,79613,13.3954,3.8943
Mesh3D_XYZ,4,uniform_random,0.250,0.124617,79865,79755,12.7655,3.7571
Mesh3D_XYZ,5,uniform_random,0.050,0.024934,15980,15958,12.4806,3.7158
Mesh3D_XYZ,4,transpose,0.150,0.074533,47760,47701,12.8213,3.7885
Mesh3D_XYZ,4,transpose,0.350,0.173991,111536,111354,26.2266,3.9053
Mesh3D_XYZ,4,transpose,0.050,0.024919,15968,15948,12.6052,3.7650
Mesh3D_XYZ,4,transpose,0.450,0.197456,126714,126372,423.0047,3.6326
Mesh3D_XYZ,5,uniform_random,0.100,0.049886,31970,31927,12.6292,3.7626
Mesh3D_XYZ,5,uniform_random,0.250,0.124617,79865,79755,12.7743,3.7612
Mesh3D_XYZ,5,uniform_random,0.200,0.099573,63801,63727,12.7206,3.7601
Mesh3D_XYZ,5,transpose,0.050,0.024919,15968,15948,12.6062,3.7655
Mesh3D_XYZ,4,uniform_random,0.450,0.224431,143788,143636,13.1044,3.8026
Mesh3D_XYZ,5,uniform_random,0.350,0.174795,111998,111869,12.9193,3.7778
Mesh3D_XYZ,4,transpose,0.500,0.202931,130247,129876,635.5218,3.5176
Mesh3D_XYZ,4,uniform_random,0.500,0.249006,159529,159364,13.1768,3.8026
Mesh3D_XYZ,4,transpose,0.200,0.099572,63806,63726,13.0506,3.8406
Mesh3D_XYZ,4,transpose,0.300,0.149500,95810,95680,14.2556,3.9531
Mesh3D_XYZ,5,uniform_random,0.450,0.224431,143788,143636,13.1421,3.8196
Mesh3D_XYZ,5,uniform_random,0.150,0.074466,47716,47658,12.6626,3.7552
Sparse3D_Pillars,0,uniform_random,0.050,0.024933,15980,15957,13.3352,4.1001
Mesh3D_XYZ,5,uniform_random,0.400,0.199536,127850,127703,13.0152,3.7939
Mesh3D_XYZ,4,transpose,0.400,0.190598,122288,121983,169.8901,3.7787
Mesh3D_XYZ,5,transpose,0.250,0.124394,79713,79612,13.3334,3.9088
Mesh3D_XYZ,5,uniform_random,0.500,0.249005,159529,159363,13.2289,3.8270
Mesh3D_XYZ,5,transpose,0.350,0.174298,111703,111551,15.2077,4.0503
Mesh3D_XYZ,5,uniform_random,0.300,0.149928,96060,95954,12.8666,3.7793
Mesh3D_XYZ,5,transpose,0.200,0.099572,63806,63726,13.0505,3.8508
Sparse3D_Pillars,0,transpose,0.050,0.024919,15968,15948,13.1843,4.0253
Mesh3D_XYZ,5,transpose,0.150,0.074533,47760,47701,12.8308,3.7958
Mesh3D_XYZ,5,transpose,0.400,0.199091,127637,127418,17.8537,4.0578
Mesh3D_XYZ,5,transpose,0.100,0.049852,31948,31905,12.6916,3.7699
Sparse3D_Pillars,0,uniform_random,0.100,0.049881,31970,31924,13.6551,4.1795
Mesh3D_XYZ,5,transpose,0.450,0.223891,143553,143290,20.2912,4.1098
Sparse3D_Pillars,0,transpose,0.100,0.049847,31948,31902,13.4631,4.0772
Sparse3D_Pillars,0,uniform_random,0.400,0.027759,18251,17766,2529.9606,4.5437
Sparse3D_Pillars,0,uniform_random,0.200,0.099556,63801,63716,14.7472,4.3087
Sparse3D_Pillars,0,transpose,0.150,0.074528,47760,47698,14.0613,4.1626
Sparse3D_Pillars,0,uniform_random,0.300,0.032411,21239,20743,2150.8213,4.4837
Sparse3D_Pillars,0,uniform_random,0.500,0.024250,16026,15520,2871.0081,4.6573
Sparse3D_Pillars,0,transpose,0.250,0.117592,75451,75259,187.4589,4.2448
Mesh3D_XYZ,5,transpose,0.500,0.247300,158608,158272,39.9854,4.1484
Sparse3D_Pillars,0,uniform_random,0.250,0.060419,39179,38668,461.4432,4.3749
Mesh3D_XYZ,5,transpose,0.300,0.149503,95810,95682,13.8788,3.9854
Sparse3D_Pillars,0,uniform_random,0.450,0.025167,16596,16107,2528.1486,4.6206
Sparse3D_Pillars,0,transpose,0.300,0.131169,84183,83948,238.0493,4.0425
Sparse3D_Pillars,0,transpose,0.200,0.099552,63806,63713,17.0930,4.3539
Sparse3D_Pillars,0,uniform_random,0.150,0.074461,47716,47655,13.9887,4.2341
Sparse3D_Pillars,0,transpose,0.350,0.138752,89113,88801,371.1091,3.8472
Sparse3D_Pillars,3,uniform_random,0.200,0.099558,63801,63717,14.6503,4.2957
Sparse3D_Pillars,3,uniform_random,0.050,0.024933,15980,15957,13.3305,4.0986
Sparse3D_Pillars,0,transpose,0.450,0.154450,99243,98848,631.7012,3.5735
Sparse3D_Pillars,0,uniform_random,0.350,0.033277,21821,21297,2701.3084,4.4498
Sparse3D_Pillars,0,transpose,0.400,0.146391,94051,93690,518.0402,3.6869
Sparse3D_Pillars,3,uniform_random,0.100,0.049881,31970,31924,13.6420,4.1743
Sparse3D_Pillars,3,uniform_random,0.400,0.029456,19363,18852,2730.6492,4.4838
Sparse3D_Pillars,3,transpose,0.050,0.024919,15968,15948,13.1859,4.0258
Sparse3D_Pillars,3,transpose,0.150,0.074527,47760,47697,13.9917,4.1450
Sparse3D_Pillars,3,uniform_random,0.450,0.026102,17213,16705,2703.8122,4.5887
Sparse3D_Pillars,3,transpose,0.200,0.099555,63806,63715,16.3286,4.3280
Sparse3D_Pillars,3,transpose,0.250,0.118464,76012,75817,175.9916,4.2357
Sparse3D_Pillars,0,transpose,0.500,0.160484,103109,102710,768.5281,3.4650
Sparse3D_Pillars,3,transpose,0.100,0.049847,31948,31902,13.4299,4.0666
Sparse3D_Pillars,3,uniform_random,0.500,0.027241,17944,17434,3339.6939,4.5602
Sparse3D_Pillars,3,uniform_random,0.300,0.029652,19505,18977,1635.8992,4.5443
Sparse3D_Pillars,3,uniform_random,0.150,0.074461,47716,47655,13.9655,4.2288
Sparse3D_Pillars,3,transpose,0.350,0.140780,90413,90099,350.8090,3.8654
Sparse3D_Pillars,4,uniform_random,0.100,0.049881,31970,31924,13.6387,4.1732
Sparse3D_Pillars,4,uniform_random,0.150,0.074461,47716,47655,13.9479,4.2248
Sparse3D_Pillars,3,uniform_random,0.250,0.121275,77813,77616,102.8926,4.3498
Sparse3D_Pillars,3,transpose,0.300,0.131442,84371,84123,252.4252,4.0323
Sparse3D_Pillars,3,transpose,0.400,0.148266,95246,94890,501.7146,3.7029
Sparse3D_Pillars,3,uniform_random,0.350,0.027992,18407,17915,2126.7531,4.5643
Sparse3D_Pillars,4,uniform_random,0.450,0.029092,19128,18619,3276.7015,4.5302
Sparse3D_Pillars,4,transpose,0.100,0.049847,31948,31902,13.4195,4.0645
Sparse3D_Pillars,4,uniform_random,0.050,0.024933,15980,15957,13.3291,4.0979
Sparse3D_Pillars,4,uniform_random,0.350,0.029917,19638,19147,2480.1998,4.4990
Sparse3D_Pillars,4,transpose,0.150,0.074528,47760,47698,13.9322,4.1367
Sparse3D_Pillars,4,uniform_random,0.250,0.045497,29606,29118,1019.6111,4.4453
Sparse3D_Pillars,4,transpose,0.050,0.024919,15968,15948,13.1733,4.0227
Sparse3D_Pillars,5,uniform_random,0.050,0.024933,15980,15957,13.3274,4.0984
Sparse3D_Pillars,5,uniform_random,0.100,0.049881,31970,31924,13.6286,4.1734
Sparse3D_Pillars,3,transpose,0.500,0.162017,104082,103691,770.2329,3.4721
Sparse3D_Pillars,3,transpose,0.450,0.156283,100412,100021,616.9664,3.5815
Sparse3D_Pillars,5,uniform_random,0.150,0.074461,47716,47655,13.9638,4.2369
Sparse3D_Pillars,4,uniform_random,0.300,0.033261,21791,21287,1982.7492,4.4597
Sparse3D_Pillars,4,transpose,0.400,0.148395,95343,94973,498.4124,3.7004
Sparse3D_Pillars,4,uniform_random,0.200,0.099559,63801,63718,14.6374,4.2925
Sparse3D_Pillars,4,transpose,0.500,0.161794,103943,103548,770.8848,3.4748
Sparse3D_Pillars,5,uniform_random,0.200,0.099555,63801,63715,14.5702,4.3222
Sparse3D_Pillars,4,transpose,0.250,0.118258,75883,75685,178.0690,4.2346
Sparse3D_Pillars,4,transpose,0.350,0.140994,90550,90236,353.2934,3.8705
Sparse3D_Pillars,4,transpose,0.200,0.099553,63806,63714,16.0899,4.3143
Sparse3D_Pillars,5,uniform_random,0.300,0.026478,17573,16946,1514.9485,4.8495
Sparse3D_Pillars,4,uniform_random,0.400,0.027459,18085,17574,2280.3719,4.5325
Sparse3D_Pillars,5,uniform_random,0.250,0.122527,78623,78417,76.0196,4.5118
Sparse3D_Pillars,5,uniform_random,0.350,0.028492,18818,18235,2213.8874,4.6806
Sparse3D_Pillars,4,transpose,0.300,0.131823,84626,84367,247.7718,4.0386
Sparse3D_Pillars,4,transpose,0.450,0.156087,100283,99896,623.7778,3.5829
Sparse3D_Pillars,4,uniform_random,0.500,0.025369,16755,16236,2721.4900,4.6295
Sparse3D_Pillars,5,transpose,0.200,0.099552,63806,63713,15.4857,4.3668
Sparse3D_Pillars,5,transpose,0.350,0.117991,75941,75514,539.2762,3.9177
Sparse3D_Pillars,5,transpose,0.250,0.120202,77123,76929,105.0589,4.4744
Sparse3D_Pillars,5,transpose,0.050,0.024919,15968,15948,13.1894,4.0291
Sparse3D_Pillars,5,uniform_random,0.500,0.022514,15011,14409,2985.9866,4.8225
Cluster3D_Hub,0,uniform_random,0.050,0.024933,15980,15957,13.6714,4.2838
Sparse3D_Pillars,5,transpose,0.450,0.138083,88849,88373,718.2018,3.6933
Cluster3D_Hub,0,uniform_random,0.100,0.049881,31970,31924,13.9230,4.3511
Sparse3D_Pillars,5,transpose,0.400,0.129069,83091,82604,615.7708,3.7788
Sparse3D_Pillars,5,uniform_random,0.450,0.022573,15054,14447,2307.0040,4.8472
Sparse3D_Pillars,5,transpose,0.100,0.049847,31948,31902,13.4613,4.0838
Sparse3D_Pillars,5,transpose,0.150,0.074527,47760,47697,13.9756,4.1853
