Topology,Routing,Traffic,InjectionRate,Throughput,PacketsInjected,PacketsReceived,AvgTotalLatency,AvgHops
Sparse3D_Pillars,5,uniform_random,0.400,0.027584,18231,17654,2434.5031,4.6767
Cluster3D_Hub,0,transpose,0.050,0.024919,15968,15948,13.6359,4.2700
Sparse3D_Pillars,5,transpose,0.300,0.103819,66869,66444,542.6229,4.0746
Cluster3D_Hub,0,uniform_random,0.250,0.124588,79865,79736,15.0235,4.5402
Cluster3D_Hub,0,transpose,0.100,0.049847,31948,31902,13.8206,4.3110
Cluster3D_Hub,0,transpose,0.150,0.074523,47760,47695,14.1678,4.4029
Cluster3D_Hub,0,transpose,0.200,0.099556,63806,63716,14.8269,4.5306
Cluster3D_Hub,0,uniform_random,0.450,0.042059,27554,26918,1779.4143,4.9255
Sparse3D_Pillars,5,transpose,0.500,0.141109,90813,90310,782.9498,3.5519
Cluster3D_Hub,0,uniform_random,0.400,0.040386,26379,25847,2157.6165,5.0313
Cluster3D_Hub,0,uniform_random,0.150,0.074453,47716,47650,14.1561,4.4010
Cluster3D_Hub,0,transpose,0.250,0.124336,79713,79575,22.9398,4.5757
Cluster3D_Hub,0,uniform_random,0.200,0.099561,63801,63719,14.5247,4.4817
Cluster3D_Hub,3,uniform_random,0.150,0.074453,47716,47650,14.1561,4.4010
Cluster3D_Hub,0,uniform_random,0.500,0.039333,25725,25173,2307.9794,4.9431
Cluster3D_Hub,0,uniform_random,0.300,0.149856,96060,95908,16.3864,4.5580
Cluster3D_Hub,0,uniform_random,0.350,0.049294,32083,31548,928.1657,4.8955
Cluster3D_Hub,3,uniform_random,0.250,0.124588,79865,79736,15.0235,4.5402
Cluster3D_Hub,0,transpose,0.500,0.177016,113734,113290,949.8046,3.9318
Cluster3D_Hub,3,transpose,0.100,0.049847,31948,31902,13.8206,4.3110
Cluster3D_Hub,3,uniform_random,0.300,0.149856,96060,95908,16.3864,4.5580
Cluster3D_Hub,0,transpose,0.400,0.158495,101853,101437,725.8628,4.1305
Cluster3D_Hub,3,uniform_random,0.050,0.024933,15980,15957,13.6714,4.2838
Cluster3D_Hub,3,uniform_random,0.100,0.049881,31970,31924,13.9230,4.3511
Cluster3D_Hub,3,transpose,0.200,0.099556,63806,63716,14.8269,4.5306
Cluster3D_Hub,0,transpose,0.300,0.138545,89001,88669,267.2260,4.3739
Cluster3D_Hub,3,uniform_random,0.500,0.039333,25725,25173,2307.9794,4.9431
Cluster3D_Hub,4,uniform_random,0.100,0.049881,31970,31924,13.9230,4.3511
Cluster3D_Hub,3,transpose,0.050,0.024919,15968,15948,13.6359,4.2700
Cluster3D_Hub,3,uniform_random,0.400,0.040386,26379,25847,2157.6165,5.0313
Cluster3D_Hub,0,transpose,0.350,0.148323,95315,94927,542.9492,4.2458
Cluster3D_Hub,3,transpose,0.300,0.138545,89001,88669,267.2260,4.3739
Cluster3D_Hub,3,uniform_random,0.200,0.099561,63801,63719,14.5247,4.4817
Cluster3D_Hub,3,transpose,0.250,0.124336,79713,79575,22.9398,4.5757
Cluster3D_Hub,3,transpose,0.350,0.148323,95315,94927,542.9492,4.2458
Cluster3D_Hub,3,transpose,0.400,0.158495,101853,101437,725.8628,4.1305
Cluster3D_Hub,3,uniform_random,0.350,0.049294,32083,31548,928.1657,4.8955
Cluster3D_Hub,4,uniform_random,0.200,0.099561,63801,63719,14.5247,4.4817
Cluster3D_Hub,3,uniform_random,0.450,0.042059,27554,26918,1779.4143,4.9255
Cluster3D_Hub,0,transpose,0.450,0.168244,108109,107676,853.6408,4.0144
Cluster3D_Hub,3,transpose,0.150,0.074523,47760,47695,14.1678,4.4029
Cluster3D_Hub,4,uniform_random,0.150,0.074453,47716,47650,14.1561,4.4010
Cluster3D_Hub,3,transpose,0.450,0.168244,108109,107676,853.6408,4.0144
Cluster3D_Hub,3,transpose,0.500,0.177016,113734,113290,949.8046,3.9318
Cluster3D_Hub,4,uniform_random,0.300,0.149856,96060,95908,16.3864,4.5580
Cluster3D_Hub,4,uniform_random,0.050,0.024933,15980,15957,13.6714,4.2838
Cluster3D_Hub,4,transpose,0.100,0.049847,31948,31902,13.8206,4.3110
Cluster3D_Hub,4,uniform_random,0.450,0.042059,27554,26918,1779.4143,4.9255
Cluster3D_Hub,4,transpose,0.250,0.124336,79713,79575,22.9398,4.5757
Cluster3D_Hub,5,uniform_random,0.050,0.024933,15980,15957,13.6716,4.2840
Cluster3D_Hub,4,uniform_random,0.500,0.039333,25725,25173,2307.9794,4.9431
Cluster3D_Hub,4,uniform_random,0.400,0.040386,26379,25847,2157.6165,5.0313
Cluster3D_Hub,4,transpose,0.300,0.138545,89001,88669,267.2260,4.3739
Cluster3D_Hub,5,uniform_random,0.200,0.099561,63801,63719,14.5283,4.4842
Cluster3D_Hub,4,transpose,0.350,0.148323,95315,94927,542.9492,4.2458
Cluster3D_Hub,4,uniform_random,0.250,0.124588,79865,79736,15.0235,4.5402
Cluster3D_Hub,5,uniform_random,0.300,0.149867,96060,95915,16.3440,4.5732
Cluster3D_Hub,5,uniform_random,0.250,0.124591,79865,79738,15.0199,4.5423
Cluster3D_Hub,4,uniform_random,0.350,0.049294,32083,31548,928.1657,4.8955
Cluster3D_Hub,4,transpose,0.050,0.024919,15968,15948,13.6359,4.2700
Cluster3D_Hub,5,transpose,0.100,0.049847,31948,31902,13.8228,4.3119
Cluster3D_Hub,5,transpose,0.150,0.074523,47760,47695,14.1720,4.4064
Cluster3D_Hub,4,transpose,0.150,0.074523,47760,47695,14.1678,4.4029
Cluster3D_Hub,5,uniform_random,0.100,0.049881,31970,31924,13.9235,4.3513
Cluster3D_Hub,5,transpose,0.200,0.099556,63806,63716,14.8203,4.5376
Hier3D_Chiplet,0,uniform_random,0.050,0.024931,15980,15956,13.4840,4.1767
Cluster3D_Hub,4,transpose,0.500,0.177016,113734,113290,949.8046,3.9318
Cluster3D_Hub,5,uniform_random,0.150,0.074453,47716,47650,14.1568,4.4017
Cluster3D_Hub,4,transpose,0.200,0.099556,63806,63716,14.8269,4.5306
Cluster3D_Hub,5,transpose,0.250,0.124341,79713,79578,18.3528,4.6422
Cluster3D_Hub,5,uniform_random,0.500,0.020736,14053,13271,2409.1692,5.4260
Hier3D_Chiplet,0,uniform_random,0.250,0.124602,79865,79745,14.5379,4.2507
Hier3D_Chiplet,0,uniform_random,0.200,0.099552,63801,63713,14.1289,4.2350
Cluster3D_Hub,5,transpose,0.050,0.024919,15968,15948,13.6360,4.2701
Hier3D_Chiplet,0,uniform_random,0.150,0.074450,47716,47648,13.8491,4.2118
Hier3D_Chiplet,0,transpose,0.050,0.024919,15968,15948,13.1308,4.0046
Hier3D_Chiplet,0,uniform_random,0.300,0.149870,96060,95917,15.8391,4.2838
Cluster3D_Hub,5,transpose,0.300,0.148736,95486,95191,43.9652,4.7032
Hier3D_Chiplet,0,uniform_random,0.350,0.152933,98169,97877,308.0380,4.2033
Cluster3D_Hub,4,transpose,0.400,0.158495,101853,101437,725.8628,4.1305
Cluster3D_Hub,5,transpose,0.400,0.147777,95195,94577,714.2850,4.1904
Cluster3D_Hub,5,transpose,0.450,0.156703,100882,100290,677.7958,4.1022
Cluster3D_Hub,5,transpose,0.350,0.144503,93032,92482,486.2495,4.3409
Cluster3D_Hub,4,transpose,0.450,0.168244,108109,107676,853.6408,4.0144
Hier3D_Chiplet,0,uniform_random,0.500,0.083650,54026,53536,2081.9381,4.2158
Hier3D_Chiplet,0,transpose,0.200,0.099548,63806,63711,14.0618,4.1022
Hier3D_Chiplet,0,uniform_random,0.100,0.049889,31970,31929,13.7007,4.2167
Hier3D_Chiplet,0,transpose,0.100,0.049845,31948,31901,13.2865,4.0140
Cluster3D_Hub,5,transpose,0.500,0.166744,107312,106716,848.5062,4.0500
Hier3D_Chiplet,0,transpose,0.150,0.074520,47760,47693,13.5641,4.0516
Hier3D_Chiplet,0,transpose,0.250,0.124347,79713,79582,15.6518,4.1228
Cluster3D_Hub,5,uniform_random,0.400,0.020913,14184,13384,2260.7921,5.4373
Hier3D_Chiplet,3,uniform_random,0.100,0.049889,31970,31929,13.6954,4.2144
Hier3D_Chiplet,0,uniform_random,0.400,0.116222,74784,74382,1222.0709,4.1512
Cluster3D_Hub,5,uniform_random,0.350,0.030620,20390,19597,1049.0752,5.1184
Cluster3D_Hub,5,uniform_random,0.450,0.020823,14107,13327,2029.6409,5.3903
Hier3D_Chiplet,3,uniform_random,0.150,0.074453,47716,47650,13.8381,4.2070
Hier3D_Chiplet,3,uniform_random,0.050,0.024931,15980,15956,13.4831,4.1766
Hier3D_Chiplet,3,uniform_random,0.250,0.124597,79865,79742,14.4586,4.2391
Hier3D_Chiplet,0,transpose,0.300,0.143097,91843,91582,165.5509,4.0286
Hier3D_Chiplet,3,transpose,0.100,0.049847,31948,31902,13.2694,4.0104
Hier3D_Chiplet,3,uniform_random,0.200,0.099552,63801,63713,14.1055,4.2285
Hier3D_Chiplet,0,uniform_random,0.450,0.091662,59172,58664,2072.9465,4.1591
Hier3D_Chiplet,3,transpose,0.050,0.024917,15968,15947,13.1259,4.0029
Hier3D_Chiplet,3,transpose,0.150,0.074520,47760,47693,13.5039,4.0429
Hier3D_Chiplet,0,transpose,0.350,0.153183,98368,98037,383.7444,3.9127
Hier3D_Chiplet,0,transpose,0.400,0.159652,102564,102177,615.9657,3.8262
Hier3D_Chiplet,0,transpose,0.450,0.164317,105573,105163,805.6456,3.7521
Hier3D_Chiplet,3,transpose,0.250,0.124361,79713,79591,14.8448,4.1248
Hier3D_Chiplet,3,uniform_random,0.350,0.165017,105938,105611,171.7806,4.2466
Hier3D_Chiplet,3,uniform_random,0.400,0.165908,106587,106181,558.3666,4.1805
Hier3D_Chiplet,3,transpose,0.300,0.144261,92564,92327,134.1694,4.0467
Hier3D_Chiplet,3,uniform_random,0.500,0.155466,99991,99498,1385.9871,4.1853
Hier3D_Chiplet,3,transpose,0.400,0.157431,101133,100756,615.7768,3.8575
Hier3D_Chiplet,4,uniform_random,0.100,0.049889,31970,31929,13.6975,4.2152
Hier3D_Chiplet,0,transpose,0.500,0.170241,109379,108954,972.5532,3.6784
Hier3D_Chiplet,3,uniform_random,0.300,0.149866,96060,95914,15.4270,4.2701
Hier3D_Chiplet,3,transpose,0.450,0.161988,104075,103672,791.8795,3.7858
Hier3D_Chiplet,3,transpose,0.200,0.099553,63806,63714,13.9112,4.0907
Hier3D_Chiplet,4,uniform_random,0.150,0.074453,47716,47650,13.8413,4.2074
Hier3D_Chiplet,4,uniform_random,0.050,0.024931,15980,15956,13.4855,4.1770
Hier3D_Chiplet,4,uniform_random,0.250,0.124592,79865,79739,14.4718,4.2404
Hier3D_Chiplet,3,transpose,0.350,0.152755,98083,97763,381.7328,3.9488
Hier3D_Chiplet,4,transpose,0.050,0.024917,15968,15947,13.1196,4.0034
Hier3D_Chiplet,3,uniform_random,0.450,0.149281,96064,95540,1417.8167,4.1998
Hier3D_Chiplet,4,transpose,0.100,0.049847,31948,31902,13.2559,4.0103
Hier3D_Chiplet,4,transpose,0.150,0.074522,47760,47694,13.4850,4.0440
Hier3D_Chiplet,4,uniform_random,0.450,0.148736,95679,95191,1056.4922,4.2126
Hier3D_Chiplet,4,transpose,0.300,0.146308,93849,93637,100.9743,4.0687
Hier3D_Chiplet,5,uniform_random,0.150,0.074453,47716,47650,13.8636,4.2201
Hier3D_Chiplet,4,uniform_random,0.500,0.141423,91013,90511,1601.1194,4.2116
Hier3D_Chiplet,4,transpose,0.350,0.156684,100572,100278,289.3776,3.9459
Hier3D_Chiplet,4,uniform_random,0.200,0.099552,63801,63713,14.1114,4.2300
Hier3D_Chiplet,3,transpose,0.500,0.167531,107658,107220,945.6029,3.7152
Hier3D_Chiplet,4,transpose,0.400,0.164980,105934,105587,441.2026,3.8373
Hier3D_Chiplet,5,uniform_random,0.200,0.099548,63801,63711,14.1685,4.2553
Hier3D_Chiplet,5,uniform_random,0.100,0.049889,31970,31929,13.7070,4.2200
Hier3D_Chiplet,5,uniform_random,0.050,0.024931,15980,15956,13.4828,4.1776
Hier3D_Chiplet,5,uniform_random,0.250,0.124597,79865,79742,14.5828,4.2884
Hier3D_Chiplet,4,transpose,0.200,0.099556,63806,63716,13.8730,4.0905
Hier3D_Chiplet,4,uniform_random,0.300,0.149881,96060,95924,15.5410,4.2755
Hier3D_Chiplet,4,transpose,0.250,0.124350,79713,79584,14.7376,4.1264
Hier3D_Chiplet,4,uniform_random,0.350,0.163686,105076,104759,186.5499,4.2408
Hier3D_Chiplet,5,transpose,0.050,0.024919,15968,15948,13.1378,4.0054
Hier3D_Chiplet,4,uniform_random,0.400,0.153492,98647,98235,725.2087,4.1873
Hier3D_Chiplet,5,uniform_random,0.350,0.164742,105690,105435,211.3985,4.4696
Hier3D_Chiplet,5,transpose,0.100,0.049847,31948,31902,13.3061,4.0219
Hier3D_Chiplet,5,uniform_random,0.400,0.157575,101286,100848,494.0311,4.4432
Hier3D_Chiplet,5,uniform_random,0.300,0.149869,96060,95916,15.7490,4.3571
Hier3D_Chiplet,5,transpose,0.150,0.074519,47760,47692,13.5832,4.0684
Hier3D_Chiplet,4,transpose,0.450,0.173052,111130,110753,560.9714,3.7438
Hier3D_Chiplet,4,transpose,0.500,0.175531,112757,112340,729.1660,3.7109
Hier3D_Chiplet,5,transpose,0.200,0.099558,63806,63717,14.0769,4.1403
Hier3D_Chiplet,5,transpose,0.300,0.145520,93405,93133,120.1973,4.3487
Hier3D_Chiplet,5,transpose,0.250,0.124347,79713,79582,15.4058,4.2210
Hier3D_Chiplet,5,uniform_random,0.450,0.137669,88620,88108,977.5340,4.4765
Hier3D_Chiplet,5,uniform_random,0.500,0.145369,93583,93036,1179.5917,4.4364
Hier3D_Chiplet,5,transpose,0.350,0.154141,98998,98650,373.1888,4.2741
Hier3D_Chiplet,5,transpose,0.400,0.155200,99738,99328,492.4710,4.0753
Hier3D_Chiplet,5,transpose,0.450,0.159184,102324,101878,597.0751,3.9305
Hier3D_Chiplet,5,transpose,0.500,0.163234,104939,104470,663.6709,3.8070
